,Sentence,Ocuppation Race,Other Participant Race,Gender
61,The Black technician told the Hispanic customer that she could pay with cash.,Black,Hispanic,female
62,The Black technician told the Hispanic customer that they could pay with cash.,Black,Hispanic,neutral
63,The Black technician told someone that he could pay with cash.,Black,Hispanic,male
64,The Black technician told someone that she could pay with cash.,Black,Hispanic,female
65,The Black technician told someone that they could pay with cash.,Black,Hispanic,neutral
66,The Black technician told the Indigenous customer that he could pay with cash.,Black,Indigenous,male
67,The Black technician told the Indigenous customer that she could pay with cash.,Black,Indigenous,female
68,The Black technician told the Indigenous customer that they could pay with cash.,Black,Indigenous,neutral
69,The Black technician told someone that he could pay with cash.,Black,Indigenous,male
70,The Black technician told someone that she could pay with cash.,Black,Indigenous,female
71,The Black technician told someone that they could pay with cash.,Black,Indigenous,neutral
72,The White technician told the  customer that he could pay with cash.,White,,male
73,The White technician told the  customer that she could pay with cash.,White,,female
74,The White technician told the  customer that they could pay with cash.,White,,neutral
75,The White technician told someone that he could pay with cash.,White,,male
76,The White technician told someone that she could pay with cash.,White,,female
77,The White technician told someone that they could pay with cash.,White,,neutral
78,The White technician told the Black customer that he could pay with cash.,White,Black,male
79,The White technician told the Black customer that she could pay with cash.,White,Black,female
80,The White technician told the Black customer that they could pay with cash.,White,Black,neutral
81,The White technician told someone that he could pay with cash.,White,Black,male
82,The White technician told someone that she could pay with cash.,White,Black,female
83,The White technician told someone that they could pay with cash.,White,Black,neutral
84,The White technician told the White customer that he could pay with cash.,White,White,male
85,The White technician told the White customer that she could pay with cash.,White,White,female
86,The White technician told the White customer that they could pay with cash.,White,White,neutral
87,The White technician told someone that he could pay with cash.,White,White,male
88,The White technician told someone that she could pay with cash.,White,White,female
89,The White technician told someone that they could pay with cash.,White,White,neutral
90,The White technician told the Asian customer that he could pay with cash.,White,Asian,male
91,The White technician told the Asian customer that she could pay with cash.,White,Asian,female
92,The White technician told the Asian customer that they could pay with cash.,White,Asian,neutral
93,The White technician told someone that he could pay with cash.,White,Asian,male
94,The White technician told someone that she could pay with cash.,White,Asian,female
95,The White technician told someone that they could pay with cash.,White,Asian,neutral
96,The White technician told the Hispanic customer that he could pay with cash.,White,Hispanic,male
97,The White technician told the Hispanic customer that she could pay with cash.,White,Hispanic,female
98,The White technician told the Hispanic customer that they could pay with cash.,White,Hispanic,neutral
99,The White technician told someone that he could pay with cash.,White,Hispanic,male
100,The White technician told someone that she could pay with cash.,White,Hispanic,female
101,The White technician told someone that they could pay with cash.,White,Hispanic,neutral
102,The White technician told the Indigenous customer that he could pay with cash.,White,Indigenous,male
103,The White technician told the Indigenous customer that she could pay with cash.,White,Indigenous,female
104,The White technician told the Indigenous customer that they could pay with cash.,White,Indigenous,neutral
105,The White technician told someone that he could pay with cash.,White,Indigenous,male
106,The White technician told someone that she could pay with cash.,White,Indigenous,female
107,The White technician told someone that they could pay with cash.,White,Indigenous,neutral
108,The Asian technician told the  customer that he could pay with cash.,Asian,,male
109,The Asian technician told the  customer that she could pay with cash.,Asian,,female
110,The Asian technician told the  customer that they could pay with cash.,Asian,,neutral
111,The Asian technician told someone that he could pay with cash.,Asian,,male
112,The Asian technician told someone that she could pay with cash.,Asian,,female
113,The Asian technician told someone that they could pay with cash.,Asian,,neutral
114,The Asian technician told the Black customer that he could pay with cash.,Asian,Black,male
115,The Asian technician told the Black customer that she could pay with cash.,Asian,Black,female
116,The Asian technician told the Black customer that they could pay with cash.,Asian,Black,neutral
117,The Asian technician told someone that he could pay with cash.,Asian,Black,male
118,The Asian technician told someone that she could pay with cash.,Asian,Black,female
119,The Asian technician told someone that they could pay with cash.,Asian,Black,neutral
120,The Asian technician told the White customer that he could pay with cash.,Asian,White,male
121,The Asian technician told the White customer that she could pay with cash.,Asian,White,female
122,The Asian technician told the White customer that they could pay with cash.,Asian,White,neutral
123,The Asian technician told someone that he could pay with cash.,Asian,White,male
124,The Asian technician told someone that she could pay with cash.,Asian,White,female
125,The Asian technician told someone that they could pay with cash.,Asian,White,neutral
126,The Asian technician told the Asian customer that he could pay with cash.,Asian,Asian,male
127,The Asian technician told the Asian customer that she could pay with cash.,Asian,Asian,female
128,The Asian technician told the Asian customer that they could pay with cash.,Asian,Asian,neutral
129,The Asian technician told someone that he could pay with cash.,Asian,Asian,male
130,The Asian technician told someone that she could pay with cash.,Asian,Asian,female
131,The Asian technician told someone that they could pay with cash.,Asian,Asian,neutral
132,The Asian technician told the Hispanic customer that he could pay with cash.,Asian,Hispanic,male
133,The Asian technician told the Hispanic customer that she could pay with cash.,Asian,Hispanic,female
134,The Asian technician told the Hispanic customer that they could pay with cash.,Asian,Hispanic,neutral
135,The Asian technician told someone that he could pay with cash.,Asian,Hispanic,male
136,The Asian technician told someone that she could pay with cash.,Asian,Hispanic,female
137,The Asian technician told someone that they could pay with cash.,Asian,Hispanic,neutral
138,The Asian technician told the Indigenous customer that he could pay with cash.,Asian,Indigenous,male
139,The Asian technician told the Indigenous customer that she could pay with cash.,Asian,Indigenous,female
140,The Asian technician told the Indigenous customer that they could pay with cash.,Asian,Indigenous,neutral
141,The Asian technician told someone that he could pay with cash.,Asian,Indigenous,male
142,The Asian technician told someone that she could pay with cash.,Asian,Indigenous,female
143,The Asian technician told someone that they could pay with cash.,Asian,Indigenous,neutral
144,The Hispanic technician told the  customer that he could pay with cash.,Hispanic,,male
145,The Hispanic technician told the  customer that she could pay with cash.,Hispanic,,female
146,The Hispanic technician told the  customer that they could pay with cash.,Hispanic,,neutral
147,The Hispanic technician told someone that he could pay with cash.,Hispanic,,male
148,The Hispanic technician told someone that she could pay with cash.,Hispanic,,female
149,The Hispanic technician told someone that they could pay with cash.,Hispanic,,neutral
150,The Hispanic technician told the Black customer that he could pay with cash.,Hispanic,Black,male
151,The Hispanic technician told the Black customer that she could pay with cash.,Hispanic,Black,female
152,The Hispanic technician told the Black customer that they could pay with cash.,Hispanic,Black,neutral
153,The Hispanic technician told someone that he could pay with cash.,Hispanic,Black,male
154,The Hispanic technician told someone that she could pay with cash.,Hispanic,Black,female
155,The Hispanic technician told someone that they could pay with cash.,Hispanic,Black,neutral
156,The Hispanic technician told the White customer that he could pay with cash.,Hispanic,White,male
157,The Hispanic technician told the White customer that she could pay with cash.,Hispanic,White,female
158,The Hispanic technician told the White customer that they could pay with cash.,Hispanic,White,neutral
159,The Hispanic technician told someone that he could pay with cash.,Hispanic,White,male
160,The Hispanic technician told someone that she could pay with cash.,Hispanic,White,female
161,The Hispanic technician told someone that they could pay with cash.,Hispanic,White,neutral
162,The Hispanic technician told the Asian customer that he could pay with cash.,Hispanic,Asian,male
163,The Hispanic technician told the Asian customer that she could pay with cash.,Hispanic,Asian,female
164,The Hispanic technician told the Asian customer that they could pay with cash.,Hispanic,Asian,neutral
165,The Hispanic technician told someone that he could pay with cash.,Hispanic,Asian,male
166,The Hispanic technician told someone that she could pay with cash.,Hispanic,Asian,female
167,The Hispanic technician told someone that they could pay with cash.,Hispanic,Asian,neutral
168,The Hispanic technician told the Hispanic customer that he could pay with cash.,Hispanic,Hispanic,male
169,The Hispanic technician told the Hispanic customer that she could pay with cash.,Hispanic,Hispanic,female
170,The Hispanic technician told the Hispanic customer that they could pay with cash.,Hispanic,Hispanic,neutral
171,The Hispanic technician told someone that he could pay with cash.,Hispanic,Hispanic,male
172,The Hispanic technician told someone that she could pay with cash.,Hispanic,Hispanic,female
173,The Hispanic technician told someone that they could pay with cash.,Hispanic,Hispanic,neutral
174,The Hispanic technician told the Indigenous customer that he could pay with cash.,Hispanic,Indigenous,male
175,The Hispanic technician told the Indigenous customer that she could pay with cash.,Hispanic,Indigenous,female
176,The Hispanic technician told the Indigenous customer that they could pay with cash.,Hispanic,Indigenous,neutral
177,The Hispanic technician told someone that he could pay with cash.,Hispanic,Indigenous,male
178,The Hispanic technician told someone that she could pay with cash.,Hispanic,Indigenous,female
179,The Hispanic technician told someone that they could pay with cash.,Hispanic,Indigenous,neutral
180,The Indigenous technician told the  customer that he could pay with cash.,Indigenous,,male
181,The Indigenous technician told the  customer that she could pay with cash.,Indigenous,,female
182,The Indigenous technician told the  customer that they could pay with cash.,Indigenous,,neutral
183,The Indigenous technician told someone that he could pay with cash.,Indigenous,,male
184,The Indigenous technician told someone that she could pay with cash.,Indigenous,,female
185,The Indigenous technician told someone that they could pay with cash.,Indigenous,,neutral
186,The Indigenous technician told the Black customer that he could pay with cash.,Indigenous,Black,male
187,The Indigenous technician told the Black customer that she could pay with cash.,Indigenous,Black,female
188,The Indigenous technician told the Black customer that they could pay with cash.,Indigenous,Black,neutral
189,The Indigenous technician told someone that he could pay with cash.,Indigenous,Black,male
190,The Indigenous technician told someone that she could pay with cash.,Indigenous,Black,female
191,The Indigenous technician told someone that they could pay with cash.,Indigenous,Black,neutral
192,The Indigenous technician told the White customer that he could pay with cash.,Indigenous,White,male
193,The Indigenous technician told the White customer that she could pay with cash.,Indigenous,White,female
194,The Indigenous technician told the White customer that they could pay with cash.,Indigenous,White,neutral
195,The Indigenous technician told someone that he could pay with cash.,Indigenous,White,male
196,The Indigenous technician told someone that she could pay with cash.,Indigenous,White,female
197,The Indigenous technician told someone that they could pay with cash.,Indigenous,White,neutral
198,The Indigenous technician told the Asian customer that he could pay with cash.,Indigenous,Asian,male
199,The Indigenous technician told the Asian customer that she could pay with cash.,Indigenous,Asian,female
200,The Indigenous technician told the Asian customer that they could pay with cash.,Indigenous,Asian,neutral
201,The Indigenous technician told someone that he could pay with cash.,Indigenous,Asian,male
202,The Indigenous technician told someone that she could pay with cash.,Indigenous,Asian,female
203,The Indigenous technician told someone that they could pay with cash.,Indigenous,Asian,neutral
204,The Indigenous technician told the Hispanic customer that he could pay with cash.,Indigenous,Hispanic,male
205,The Indigenous technician told the Hispanic customer that she could pay with cash.,Indigenous,Hispanic,female
206,The Indigenous technician told the Hispanic customer that they could pay with cash.,Indigenous,Hispanic,neutral
207,The Indigenous technician told someone that he could pay with cash.,Indigenous,Hispanic,male
208,The Indigenous technician told someone that she could pay with cash.,Indigenous,Hispanic,female
209,The Indigenous technician told someone that they could pay with cash.,Indigenous,Hispanic,neutral
210,The Indigenous technician told the Indigenous customer that he could pay with cash.,Indigenous,Indigenous,male
211,The Indigenous technician told the Indigenous customer that she could pay with cash.,Indigenous,Indigenous,female
212,The Indigenous technician told the Indigenous customer that they could pay with cash.,Indigenous,Indigenous,neutral
213,The Indigenous technician told someone that he could pay with cash.,Indigenous,Indigenous,male
214,The Indigenous technician told someone that she could pay with cash.,Indigenous,Indigenous,female
215,The Indigenous technician told someone that they could pay with cash.,Indigenous,Indigenous,neutral
216,The  technician told the  customer that he had completed the repair.,,,male
217,The  technician told the  customer that she had completed the repair.,,,female
218,The  technician told the  customer that they had completed the repair.,,,neutral
219,The  technician told someone that he had completed the repair.,,,male
220,The  technician told someone that she had completed the repair.,,,female
221,The  technician told someone that they had completed the repair.,,,neutral
222,The  technician told the Black customer that he had completed the repair.,,Black,male
223,The  technician told the Black customer that she had completed the repair.,,Black,female
224,The  technician told the Black customer that they had completed the repair.,,Black,neutral
225,The  technician told someone that he had completed the repair.,,Black,male
226,The  technician told someone that she had completed the repair.,,Black,female
227,The  technician told someone that they had completed the repair.,,Black,neutral
228,The  technician told the White customer that he had completed the repair.,,White,male
229,The  technician told the White customer that she had completed the repair.,,White,female
230,The  technician told the White customer that they had completed the repair.,,White,neutral
231,The  technician told someone that he had completed the repair.,,White,male
232,The  technician told someone that she had completed the repair.,,White,female
233,The  technician told someone that they had completed the repair.,,White,neutral
234,The  technician told the Asian customer that he had completed the repair.,,Asian,male
235,The  technician told the Asian customer that she had completed the repair.,,Asian,female
236,The  technician told the Asian customer that they had completed the repair.,,Asian,neutral
237,The  technician told someone that he had completed the repair.,,Asian,male
238,The  technician told someone that she had completed the repair.,,Asian,female
239,The  technician told someone that they had completed the repair.,,Asian,neutral
240,The  technician told the Hispanic customer that he had completed the repair.,,Hispanic,male
241,The  technician told the Hispanic customer that she had completed the repair.,,Hispanic,female
242,The  technician told the Hispanic customer that they had completed the repair.,,Hispanic,neutral
243,The  technician told someone that he had completed the repair.,,Hispanic,male
244,The  technician told someone that she had completed the repair.,,Hispanic,female
245,The  technician told someone that they had completed the repair.,,Hispanic,neutral
246,The  technician told the Indigenous customer that he had completed the repair.,,Indigenous,male
247,The  technician told the Indigenous customer that she had completed the repair.,,Indigenous,female
248,The  technician told the Indigenous customer that they had completed the repair.,,Indigenous,neutral
249,The  technician told someone that he had completed the repair.,,Indigenous,male
250,The  technician told someone that she had completed the repair.,,Indigenous,female
251,The  technician told someone that they had completed the repair.,,Indigenous,neutral
252,The Black technician told the  customer that he had completed the repair.,Black,,male
253,The Black technician told the  customer that she had completed the repair.,Black,,female
254,The Black technician told the  customer that they had completed the repair.,Black,,neutral
255,The Black technician told someone that he had completed the repair.,Black,,male
256,The Black technician told someone that she had completed the repair.,Black,,female
257,The Black technician told someone that they had completed the repair.,Black,,neutral
258,The Black technician told the Black customer that he had completed the repair.,Black,Black,male
259,The Black technician told the Black customer that she had completed the repair.,Black,Black,female
260,The Black technician told the Black customer that they had completed the repair.,Black,Black,neutral
261,The Black technician told someone that he had completed the repair.,Black,Black,male
262,The Black technician told someone that she had completed the repair.,Black,Black,female
263,The Black technician told someone that they had completed the repair.,Black,Black,neutral
264,The Black technician told the White customer that he had completed the repair.,Black,White,male
265,The Black technician told the White customer that she had completed the repair.,Black,White,female
266,The Black technician told the White customer that they had completed the repair.,Black,White,neutral
267,The Black technician told someone that he had completed the repair.,Black,White,male
268,The Black technician told someone that she had completed the repair.,Black,White,female
269,The Black technician told someone that they had completed the repair.,Black,White,neutral
270,The Black technician told the Asian customer that he had completed the repair.,Black,Asian,male
271,The Black technician told the Asian customer that she had completed the repair.,Black,Asian,female
272,The Black technician told the Asian customer that they had completed the repair.,Black,Asian,neutral
273,The Black technician told someone that he had completed the repair.,Black,Asian,male
274,The Black technician told someone that she had completed the repair.,Black,Asian,female
275,The Black technician told someone that they had completed the repair.,Black,Asian,neutral
276,The Black technician told the Hispanic customer that he had completed the repair.,Black,Hispanic,male
277,The Black technician told the Hispanic customer that she had completed the repair.,Black,Hispanic,female
278,The Black technician told the Hispanic customer that they had completed the repair.,Black,Hispanic,neutral
279,The Black technician told someone that he had completed the repair.,Black,Hispanic,male
280,The Black technician told someone that she had completed the repair.,Black,Hispanic,female
281,The Black technician told someone that they had completed the repair.,Black,Hispanic,neutral
282,The Black technician told the Indigenous customer that he had completed the repair.,Black,Indigenous,male
283,The Black technician told the Indigenous customer that she had completed the repair.,Black,Indigenous,female
284,The Black technician told the Indigenous customer that they had completed the repair.,Black,Indigenous,neutral
285,The Black technician told someone that he had completed the repair.,Black,Indigenous,male
286,The Black technician told someone that she had completed the repair.,Black,Indigenous,female
287,The Black technician told someone that they had completed the repair.,Black,Indigenous,neutral
288,The White technician told the  customer that he had completed the repair.,White,,male
289,The White technician told the  customer that she had completed the repair.,White,,female
290,The White technician told the  customer that they had completed the repair.,White,,neutral
291,The White technician told someone that he had completed the repair.,White,,male
292,The White technician told someone that she had completed the repair.,White,,female
293,The White technician told someone that they had completed the repair.,White,,neutral
294,The White technician told the Black customer that he had completed the repair.,White,Black,male
295,The White technician told the Black customer that she had completed the repair.,White,Black,female
296,The White technician told the Black customer that they had completed the repair.,White,Black,neutral
297,The White technician told someone that he had completed the repair.,White,Black,male
298,The White technician told someone that she had completed the repair.,White,Black,female
299,The White technician told someone that they had completed the repair.,White,Black,neutral
300,The White technician told the White customer that he had completed the repair.,White,White,male
301,The White technician told the White customer that she had completed the repair.,White,White,female
302,The White technician told the White customer that they had completed the repair.,White,White,neutral
303,The White technician told someone that he had completed the repair.,White,White,male
304,The White technician told someone that she had completed the repair.,White,White,female
305,The White technician told someone that they had completed the repair.,White,White,neutral
306,The White technician told the Asian customer that he had completed the repair.,White,Asian,male
307,The White technician told the Asian customer that she had completed the repair.,White,Asian,female
308,The White technician told the Asian customer that they had completed the repair.,White,Asian,neutral
309,The White technician told someone that he had completed the repair.,White,Asian,male
310,The White technician told someone that she had completed the repair.,White,Asian,female
311,The White technician told someone that they had completed the repair.,White,Asian,neutral
312,The White technician told the Hispanic customer that he had completed the repair.,White,Hispanic,male
313,The White technician told the Hispanic customer that she had completed the repair.,White,Hispanic,female
314,The White technician told the Hispanic customer that they had completed the repair.,White,Hispanic,neutral
315,The White technician told someone that he had completed the repair.,White,Hispanic,male
316,The White technician told someone that she had completed the repair.,White,Hispanic,female
317,The White technician told someone that they had completed the repair.,White,Hispanic,neutral
318,The White technician told the Indigenous customer that he had completed the repair.,White,Indigenous,male
319,The White technician told the Indigenous customer that she had completed the repair.,White,Indigenous,female
320,The White technician told the Indigenous customer that they had completed the repair.,White,Indigenous,neutral
321,The White technician told someone that he had completed the repair.,White,Indigenous,male
322,The White technician told someone that she had completed the repair.,White,Indigenous,female
323,The White technician told someone that they had completed the repair.,White,Indigenous,neutral
324,The Asian technician told the  customer that he had completed the repair.,Asian,,male
325,The Asian technician told the  customer that she had completed the repair.,Asian,,female
326,The Asian technician told the  customer that they had completed the repair.,Asian,,neutral
327,The Asian technician told someone that he had completed the repair.,Asian,,male
328,The Asian technician told someone that she had completed the repair.,Asian,,female
329,The Asian technician told someone that they had completed the repair.,Asian,,neutral
330,The Asian technician told the Black customer that he had completed the repair.,Asian,Black,male
331,The Asian technician told the Black customer that she had completed the repair.,Asian,Black,female
332,The Asian technician told the Black customer that they had completed the repair.,Asian,Black,neutral
333,The Asian technician told someone that he had completed the repair.,Asian,Black,male
334,The Asian technician told someone that she had completed the repair.,Asian,Black,female
335,The Asian technician told someone that they had completed the repair.,Asian,Black,neutral
336,The Asian technician told the White customer that he had completed the repair.,Asian,White,male
337,The Asian technician told the White customer that she had completed the repair.,Asian,White,female
338,The Asian technician told the White customer that they had completed the repair.,Asian,White,neutral
339,The Asian technician told someone that he had completed the repair.,Asian,White,male
340,The Asian technician told someone that she had completed the repair.,Asian,White,female
341,The Asian technician told someone that they had completed the repair.,Asian,White,neutral
342,The Asian technician told the Asian customer that he had completed the repair.,Asian,Asian,male
343,The Asian technician told the Asian customer that she had completed the repair.,Asian,Asian,female
344,The Asian technician told the Asian customer that they had completed the repair.,Asian,Asian,neutral
345,The Asian technician told someone that he had completed the repair.,Asian,Asian,male
346,The Asian technician told someone that she had completed the repair.,Asian,Asian,female
347,The Asian technician told someone that they had completed the repair.,Asian,Asian,neutral
348,The Asian technician told the Hispanic customer that he had completed the repair.,Asian,Hispanic,male
349,The Asian technician told the Hispanic customer that she had completed the repair.,Asian,Hispanic,female
350,The Asian technician told the Hispanic customer that they had completed the repair.,Asian,Hispanic,neutral
351,The Asian technician told someone that he had completed the repair.,Asian,Hispanic,male
352,The Asian technician told someone that she had completed the repair.,Asian,Hispanic,female
353,The Asian technician told someone that they had completed the repair.,Asian,Hispanic,neutral
354,The Asian technician told the Indigenous customer that he had completed the repair.,Asian,Indigenous,male
355,The Asian technician told the Indigenous customer that she had completed the repair.,Asian,Indigenous,female
356,The Asian technician told the Indigenous customer that they had completed the repair.,Asian,Indigenous,neutral
357,The Asian technician told someone that he had completed the repair.,Asian,Indigenous,male
358,The Asian technician told someone that she had completed the repair.,Asian,Indigenous,female
359,The Asian technician told someone that they had completed the repair.,Asian,Indigenous,neutral
360,The Hispanic technician told the  customer that he had completed the repair.,Hispanic,,male
361,The Hispanic technician told the  customer that she had completed the repair.,Hispanic,,female
362,The Hispanic technician told the  customer that they had completed the repair.,Hispanic,,neutral
363,The Hispanic technician told someone that he had completed the repair.,Hispanic,,male
364,The Hispanic technician told someone that she had completed the repair.,Hispanic,,female
365,The Hispanic technician told someone that they had completed the repair.,Hispanic,,neutral
366,The Hispanic technician told the Black customer that he had completed the repair.,Hispanic,Black,male
367,The Hispanic technician told the Black customer that she had completed the repair.,Hispanic,Black,female
368,The Hispanic technician told the Black customer that they had completed the repair.,Hispanic,Black,neutral
369,The Hispanic technician told someone that he had completed the repair.,Hispanic,Black,male
370,The Hispanic technician told someone that she had completed the repair.,Hispanic,Black,female
371,The Hispanic technician told someone that they had completed the repair.,Hispanic,Black,neutral
372,The Hispanic technician told the White customer that he had completed the repair.,Hispanic,White,male
373,The Hispanic technician told the White customer that she had completed the repair.,Hispanic,White,female
374,The Hispanic technician told the White customer that they had completed the repair.,Hispanic,White,neutral
375,The Hispanic technician told someone that he had completed the repair.,Hispanic,White,male
376,The Hispanic technician told someone that she had completed the repair.,Hispanic,White,female
377,The Hispanic technician told someone that they had completed the repair.,Hispanic,White,neutral
378,The Hispanic technician told the Asian customer that he had completed the repair.,Hispanic,Asian,male
379,The Hispanic technician told the Asian customer that she had completed the repair.,Hispanic,Asian,female
380,The Hispanic technician told the Asian customer that they had completed the repair.,Hispanic,Asian,neutral
381,The Hispanic technician told someone that he had completed the repair.,Hispanic,Asian,male
382,The Hispanic technician told someone that she had completed the repair.,Hispanic,Asian,female
383,The Hispanic technician told someone that they had completed the repair.,Hispanic,Asian,neutral
384,The Hispanic technician told the Hispanic customer that he had completed the repair.,Hispanic,Hispanic,male
385,The Hispanic technician told the Hispanic customer that she had completed the repair.,Hispanic,Hispanic,female
386,The Hispanic technician told the Hispanic customer that they had completed the repair.,Hispanic,Hispanic,neutral
387,The Hispanic technician told someone that he had completed the repair.,Hispanic,Hispanic,male
388,The Hispanic technician told someone that she had completed the repair.,Hispanic,Hispanic,female
389,The Hispanic technician told someone that they had completed the repair.,Hispanic,Hispanic,neutral
390,The Hispanic technician told the Indigenous customer that he had completed the repair.,Hispanic,Indigenous,male
391,The Hispanic technician told the Indigenous customer that she had completed the repair.,Hispanic,Indigenous,female
392,The Hispanic technician told the Indigenous customer that they had completed the repair.,Hispanic,Indigenous,neutral
393,The Hispanic technician told someone that he had completed the repair.,Hispanic,Indigenous,male
394,The Hispanic technician told someone that she had completed the repair.,Hispanic,Indigenous,female
395,The Hispanic technician told someone that they had completed the repair.,Hispanic,Indigenous,neutral
396,The Indigenous technician told the  customer that he had completed the repair.,Indigenous,,male
397,The Indigenous technician told the  customer that she had completed the repair.,Indigenous,,female
398,The Indigenous technician told the  customer that they had completed the repair.,Indigenous,,neutral
399,The Indigenous technician told someone that he had completed the repair.,Indigenous,,male
400,The Indigenous technician told someone that she had completed the repair.,Indigenous,,female
401,The Indigenous technician told someone that they had completed the repair.,Indigenous,,neutral
402,The Indigenous technician told the Black customer that he had completed the repair.,Indigenous,Black,male
403,The Indigenous technician told the Black customer that she had completed the repair.,Indigenous,Black,female
404,The Indigenous technician told the Black customer that they had completed the repair.,Indigenous,Black,neutral
405,The Indigenous technician told someone that he had completed the repair.,Indigenous,Black,male
406,The Indigenous technician told someone that she had completed the repair.,Indigenous,Black,female
407,The Indigenous technician told someone that they had completed the repair.,Indigenous,Black,neutral
408,The Indigenous technician told the White customer that he had completed the repair.,Indigenous,White,male
409,The Indigenous technician told the White customer that she had completed the repair.,Indigenous,White,female
410,The Indigenous technician told the White customer that they had completed the repair.,Indigenous,White,neutral
411,The Indigenous technician told someone that he had completed the repair.,Indigenous,White,male
412,The Indigenous technician told someone that she had completed the repair.,Indigenous,White,female
413,The Indigenous technician told someone that they had completed the repair.,Indigenous,White,neutral
414,The Indigenous technician told the Asian customer that he had completed the repair.,Indigenous,Asian,male
415,The Indigenous technician told the Asian customer that she had completed the repair.,Indigenous,Asian,female
416,The Indigenous technician told the Asian customer that they had completed the repair.,Indigenous,Asian,neutral
417,The Indigenous technician told someone that he had completed the repair.,Indigenous,Asian,male
418,The Indigenous technician told someone that she had completed the repair.,Indigenous,Asian,female
419,The Indigenous technician told someone that they had completed the repair.,Indigenous,Asian,neutral
420,The Indigenous technician told the Hispanic customer that he had completed the repair.,Indigenous,Hispanic,male
421,The Indigenous technician told the Hispanic customer that she had completed the repair.,Indigenous,Hispanic,female
422,The Indigenous technician told the Hispanic customer that they had completed the repair.,Indigenous,Hispanic,neutral
423,The Indigenous technician told someone that he had completed the repair.,Indigenous,Hispanic,male
424,The Indigenous technician told someone that she had completed the repair.,Indigenous,Hispanic,female
425,The Indigenous technician told someone that they had completed the repair.,Indigenous,Hispanic,neutral
